"GOV","Level of government","TAX","Revenue category","YEA","Year","Value","Flag Codes","Flags"
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2001","2001",294496,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2002","2002",400023,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2003","2003",467002,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2004","2004",616343,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2005","2005",767853,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2006","2006",842193,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2007","2007",776156,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2008","2008",926763,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2009","2009",1250546,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2010","2010",1510809,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2011","2011",2160342,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2012","2012",2542331,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2013","2013",2674495,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2014","2014",3221470.945,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2015","2015",3494637,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2016","2016",3613247,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2017","2017",4028658,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2018","2018",5061314,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2019","2019",6665747,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2020","2020",7821326,,
"FED","Federal or Central government","TOTAL","Total tax and non-tax revenue","2021","2021",8569967,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2001","2001",294496,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2002","2002",400023,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2003","2003",467002,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2004","2004",616343,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2005","2005",767853,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2006","2006",842193,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2007","2007",776156,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2008","2008",926763,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2009","2009",1250546,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2010","2010",1510809,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2011","2011",2160342,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2012","2012",2542331,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2013","2013",2674495,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2014","2014",3221470.945,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2015","2015",3494637,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2016","2016",3613247,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2017","2017",4028658,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2018","2018",5061314,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2019","2019",6665747,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2020","2020",7821326,,
"NES","Total","TOTAL","Total tax and non-tax revenue","2021","2021",8569967,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2001","2001",198761,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2002","2002",230395,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2003","2003",277807,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2004","2004",336123,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2005","2005",374357,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2006","2006",456397,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2007","2007",488901,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2008","2008",604876,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2009","2009",681024,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2010","2010",929506,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2011","2011",1166835,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2012","2012",1594260,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2013","2013",1777109,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2014","2014",1968761.945,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2015","2015",2135262,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2016","2016",2587130,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2017","2017",2953447,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2018","2018",3545043,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2019","2019",4326905,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2020","2020",4376983,,
"FED","Federal or Central government","TOTALTAX","Total tax revenue","2021","2021",5193373,,
"NES","Total","TOTALTAX","Total tax revenue","2001","2001",198761,,
"NES","Total","TOTALTAX","Total tax revenue","2002","2002",230395,,
"NES","Total","TOTALTAX","Total tax revenue","2003","2003",277807,,
"NES","Total","TOTALTAX","Total tax revenue","2004","2004",336123,,
"NES","Total","TOTALTAX","Total tax revenue","2005","2005",374357,,
"NES","Total","TOTALTAX","Total tax revenue","2006","2006",456397,,
"NES","Total","TOTALTAX","Total tax revenue","2007","2007",488901,,
"NES","Total","TOTALTAX","Total tax revenue","2008","2008",604876,,
"NES","Total","TOTALTAX","Total tax revenue","2009","2009",681024,,
"NES","Total","TOTALTAX","Total tax revenue","2010","2010",929506,,
"NES","Total","TOTALTAX","Total tax revenue","2011","2011",1166835,,
"NES","Total","TOTALTAX","Total tax revenue","2012","2012",1594260,,
"NES","Total","TOTALTAX","Total tax revenue","2013","2013",1777109,,
"NES","Total","TOTALTAX","Total tax revenue","2014","2014",1968761.945,,
"NES","Total","TOTALTAX","Total tax revenue","2015","2015",2135262,,
"NES","Total","TOTALTAX","Total tax revenue","2016","2016",2587130,,
"NES","Total","TOTALTAX","Total tax revenue","2017","2017",2953447,,
